temperature,humidity,soil_moisture,pump_on
27.72,86.34,45.9,0
28.42,73.57,41.38,0
30.84,64.06,17.88,1
22.59,53.69,18.89,0
28.0,70.66,59.98,0
29.18,77.04,54.36,0
26.58,59.68,25.54,1
22.48,60.02,27.24,0
29.65,59.14,21.03,1
28.21,88.16,37.88,0
21.48,37.74,20.4,0
30.98,53.69,17.22,1
32.03,80.07,46.93,0
32.39,83.6,63.7,0
26.79,54.07,17.42,1
31.9,87.16,41.75,0
27.98,47.59,16.09,1
28.14,62.89,19.89,1
27.44,57.24,23.18,1
26.07,73.67,19.57,1
19.36,49.53,28.15,0
32.33,75.7,64.19,0
25.67,39.92,21.2,1
30.27,45.25,16.7,1
23.47,53.41,29.3,0
15.63,63.65,27.65,0
36.36,79.0,38.78,0
20.55,66.45,30.75,0
24.42,64.98,20.96,0
28.78,60.63,25.56,1
16.32,64.5,24.01,0
26.25,61.25,24.17,1
23.62,54.04,24.71,0
19.44,43.57,22.55,0
20.3,61.21,27.06,0
29.17,75.21,42.46,0
20.05,56.98,28.98,0
27.45,75.02,62.54,0
18.44,55.69,26.75,0
30.61,81.64,65.93,0
19.91,60.73,25.87,0
29.01,76.02,61.54,0
29.33,75.77,50.31,0
34.22,84.05,66.32,0
21.17,42.73,22.93,0
30.66,55.65,15.3,1
26.89,56.54,23.11,1
24.67,54.54,19.08,0
34.85,82.2,71.55,0
36.21,80.84,62.93,0
33.2,77.72,51.47,0
28.0,79.11,67.45,0
30.96,76.47,65.41,0
26.72,61.49,23.39,1
26.48,77.33,38.95,0
29.54,60.36,19.75,1
24.49,44.02,18.06,0
31.62,80.69,58.16,0
18.92,48.67,24.12,0
27.38,42.48,16.29,1
26.62,83.63,51.44,0
20.4,47.75,24.61,0
30.44,73.27,42.95,0
29.89,44.25,16.71,1
29.59,83.17,71.34,0
26.79,79.48,33.07,0
33.2,73.6,74.63,0
18.28,44.17,24.96,0
30.86,78.65,67.02,0
29.38,81.18,58.2,0
21.25,62.91,28.23,0
19.87,43.27,23.33,0
24.51,46.96,19.8,0
18.79,47.44,23.72,0
25.21,70.66,20.91,1
31.11,77.26,46.19,0
29.57,61.36,23.52,1
30.11,79.06,67.53,0
21.23,46.17,25.72,0
21.2,53.38,14.84,0
18.74,58.94,25.82,0
20.01,65.26,30.13,0
29.65,46.77,17.04,1
27.6,70.97,66.1,0
19.59,62.01,29.13,0
19.65,48.51,24.51,0
27.95,78.29,47.03,0
21.34,62.55,23.74,0
24.6,42.58,13.16,0
26.77,44.73,17.89,1
29.99,53.74,15.62,1
32.17,81.78,41.85,0
23.54,42.42,18.89,0
19.44,42.84,23.93,0
31.09,80.33,48.39,0
19.86,62.0,30.39,0
29.2,74.06,53.86,0
21.57,46.22,19.67,0
27.2,54.48,25.64,1
27.85,42.91,20.41,1
18.85,40.49,22.25,0
24.94,59.84,30.44,0
18.57,60.26,29.3,0
20.31,45.7,23.85,0
29.3,72.81,57.38,0
20.53,54.53,20.05,0
27.51,61.88,21.25,1
26.15,65.79,26.88,1
31.56,46.67,17.17,1
31.52,76.45,47.92,0
28.36,44.76,15.38,1
28.42,46.41,21.63,1
28.81,79.53,62.82,0
31.22,68.3,62.51,0
19.74,47.45,20.71,0
24.66,52.53,25.36,0
29.19,43.27,19.62,1
32.97,75.92,47.54,0
29.33,71.03,63.62,0
32.42,57.28,17.36,1
29.14,74.16,47.96,0
34.63,79.91,47.61,0
21.58,51.97,22.87,0
28.64,55.32,20.75,1
30.61,76.13,71.22,0
28.27,59.62,25.31,1
23.83,56.53,24.06,0
24.15,44.27,19.17,0
28.91,59.17,21.76,1
33.25,69.99,68.91,0
30.66,79.01,50.71,0
33.45,77.5,60.97,0
27.12,73.74,41.31,0
28.03,57.85,22.56,1
26.73,60.56,24.21,1
27.63,54.16,24.71,1
17.66,57.14,19.3,0
29.6,80.96,50.09,0
30.08,79.49,76.32,0
32.31,79.66,39.8,0
26.29,71.39,43.06,0
33.82,73.82,56.22,0
30.74,83.89,62.31,0
20.16,50.48,25.13,0
23.69,48.04,22.15,0
25.42,80.48,60.02,0
25.75,49.81,12.19,1
25.72,79.14,65.53,0
26.42,82.1,67.4,0
21.04,50.48,22.38,0
23.8,42.48,21.78,0
22.19,49.38,17.81,0
22.52,45.59,21.22,0
30.92,60.94,23.82,1
16.07,59.45,28.77,0
29.2,74.42,61.4,0
24.11,45.36,13.3,0
25.2,42.75,16.8,1
25.78,78.7,40.41,0
27.58,70.96,25.72,1
20.14,59.02,21.63,0
19.95,52.91,27.34,0
20.02,54.15,19.68,0
33.4,78.99,75.15,0
27.89,51.12,23.32,1
30.41,74.28,64.88,0
30.9,52.61,24.33,1
22.0,62.44,30.61,0
31.68,79.44,50.44,0
31.06,81.4,57.96,0
17.72,41.12,17.81,0
29.2,79.84,44.42,0
31.61,87.55,68.1,0
29.36,69.06,49.46,0
31.12,45.17,19.54,1
19.73,48.52,22.41,0
28.54,79.96,46.32,0
23.15,45.52,28.27,0
30.94,75.82,49.9,0
29.03,83.68,67.27,0
28.34,72.13,67.71,0
23.05,61.66,27.81,0
18.19,45.57,20.02,0
17.53,53.06,22.96,0
30.64,60.28,20.54,1
29.79,66.84,69.05,0
25.3,59.37,24.81,1
29.54,70.19,59.59,0
18.24,59.66,28.68,0
29.49,80.24,46.94,0
24.92,49.99,19.3,0
18.12,54.94,26.52,0
22.18,49.28,23.7,0
26.1,57.47,21.35,1
14.15,45.27,20.96,0
21.68,45.36,29.0,0
